f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.3,7.0,0.6,53.71971345,16.57971345,37.14,170.49,0.0,
0.4,7.0,0.6,30.21733882,16.35733882,13.86,23.8,0.0,
0.5,7.0,0.6,19.33909684,13.91909684,5.42,7.64,0.0,
0.6,7.0,0.6,13.42992836,10.84992836,2.58,1.27,0.0,
0.7,7.0,0.6,9.866886144,7.866886144,2.0,0.53,0.0,
0.8,7.0,0.6,7.554334704,5.994334704,1.56,0.33,0.0,
0.9,7.0,0.6,5.96885705,4.86885705,1.1,0.09,0.0,
0.1,7.0,0.7,447.6131142,-262.3168858,709.93,24148.44,12.0,
0.2,7.0,0.7,111.9032785,-10.83672145,122.74,802.44,0.0,
0.3,7.0,0.7,49.73479047,10.69479047,39.04,206.12,0.0,
0.4,7.0,0.7,27.97581964,14.69581964,13.28,22.53,0.0,
0.5,7.0,0.7,17.90452457,13.40452457,4.5,2.38,0.0,
0.6,7.0,0.7,12.43369762,9.993697617,2.44,0.99,0.0,
0.7,7.0,0.7,9.134961514,7.294961514,1.84,0.26,0.0,
0.8,7.0,0.7,6.993954909,5.673954909,1.32,0.22,0.0,
0.9,7.0,0.7,5.52608783,4.42608783,1.1,0.13,0.0,
0.1,7.0,0.8,418.7037288,-283.9762712,702.68,23879.09,24.0,
0.2,7.0,0.8,104.6759322,-11.2440678,115.92,689.46,0.0,
0.3,7.0,0.8,46.52263653,16.72263653,29.8,48.49,0.0,
0.4,7.0,0.8,26.16898305,14.82898305,11.34,18.19,0.0,
0.5,7.0,0.8,16.74814915,12.46814915,4.28,2.25,0.0,
0.6,7.0,0.8,11.63065913,9.490659133,2.14,0.41,0.0,
0.7,7.0,0.8,8.544974057,6.524974057,2.02,0.47,0.0,
0.8,7.0,0.8,6.542245762,5.062245762,1.48,0.38,0.0,
0.9,7.0,0.8,5.169181837,4.049181837,1.12,0.11,0.0,
0.1,7.0,0.9,394.7576612,-370.5923388,765.35,13395.44,48.0,
0.2,7.0,0.9,98.68941531,-14.97058469,113.66,841.9,0.0,
0.3,7.0,0.9,43.86196236,12.24196236,31.62,67.71,0.0,
0.4,7.0,0.9,24.67235383,13.67235383,11.0,11.76,0.0,
0.5,7.0,0.9,15.79030645,11.11030645,4.68,4.34,0.0,
0.6,7.0,0.9,10.96549059,8.56549059,2.4,0.45,0.0,
0.7,7.0,0.9,8.056278801,6.076278801,1.98,0.31,0.0,
0.8,7.0,0.9,6.168088457,4.588088457,1.58,0.33,0.0,
0.9,7.0,0.9,4.873551373,3.773551373,1.1,0.09,0.0,
0.1,9.0,0.0,,,,,100.0,
0.2,9.0,0.0,,,,,100.0,
0.3,9.0,0.0,,,,,100.0,
0.4,9.0,0.0,,,,,100.0,
0.5,9.0,0.0,,,16.0,128.0,96.0,
